"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
" 托兒所收托人數"
" ","1998",27231,26748,13566,32750,21974,26926,11002,4660,5471,17507,9820,10574,7067,14454,3515,5462,1884,3412,2105,2394,-,-
" ","1999",28604,29797,13102,36030,22703,27553,11090,4961,5650,19213,9600,10245,6887,15815,3139,5327,1813,3548,1596,2408,60,20
" ","2000",51464,34561,17125,38709,23399,29890,12159,5198,6071,20810,10031,10825,8697,19135,3222,5787,1937,4905,2629,3060,84,18
" ","2001",56981,34230,19488,39284,23184,31594,12544,5161,6089,21172,11797,8914,7550,17905,3220,5382,1966,5600,3771,2933,137,16
" ","2002",50427,35820,22165,49402,23006,32641,11509,5260,6311,21620,10088,8829,7382,19305,3349,5484,1992,5401,4003,2960,155,16
" ","2003",46629,35047,21719,39683,23391,29486,9840,5349,5503,21804,10479,8196,7544,15441,3352,5043,1578,5630,3797,2881,163,16
" ","2004",51673,19052,21136,42037,23172,28999,9702,5881,5553,23126,9511,8033,7521,14517,3103,5741,1869,4470,3575,2902,165,48
" ","2005",52334,16995,19118,41769,23639,26715,9351,6229,6337,23211,9524,7204,7238,13918,2750,4800,1740,4075,3257,2773,179,28
" ","2006",46302,17841,19843,40138,21293,23492,7901,6493,6282,19752,8896,7242,7892,13110,2702,3995,1659,3752,3652,2444,167,67
" ","2007",43984,19203,16249,37486,19057,22316,7311,6461,5290,22581,8321,7291,6472,12750,2174,3890,1371,3726,3270,2243,146,60
" ","2008",41472,18446,16235,33409,17075,21013,7159,6357,6009,19959,7990,7065,5425,11953,1930,3555,1372,3383,2964,2236,187,54
" ","2009",44864,17924,19185,31835,16562,19620,7136,6113,5385,21235,7745,6781,5578,10233,1955,3831,1375,3313,3394,2240,259,67
" ","2010",42806,18320,19732,31718,17121,19958,6953,6529,5462,17341,7490,6807,5210,11038,1719,3669,1296,3275,4149,1676,256,66
" ","2011",45657,19490,19800,36203,19106,19355,6312,7329,5446,17201,7432,6884,4956,10213,1659,3587,1362,3137,4172,1835,283,63
" ","2012",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
" ","2013",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
" ","2014",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
" ","2015",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
" ","2016",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
" ","2017",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...

