"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
" 平均每人每年可支配所得"
" ","1998",227468,331341,238753,230959,201188,226060,194901,217900,181714,189654,187981,195769,176055,196415,171931,213324,163309,219775,256029,249562,217679,...
" ","1999",239971,336651,250478,250930,216577,235739,232872,233956,204676,193149,227798,212760,178563,215245,168943,209142,186268,242730,261256,246550,179786,...
" ","2000",251463,338190,253976,229329,213872,240072,221787,247438,201061,187578,196614,221841,205662,222350,202942,226182,228628,250981,288539,233729,205921,328187
" ","2001",244860,339257,240443,234219,206799,239295,203902,245392,195312,185972,195501,224627,189221,201698,201609,227028,202567,221628,304372,226393,205390,329709
" ","2002",244558,357214,251277,223221,207345,228276,198736,227123,197581,191680,183699,200586,172609,226036,199789,200976,203920,204576,278438,237469,222384,290147
" ","2003",256421,365696,248638,237919,228743,237473,210583,233273,199542,206599,191984,200478,180628,230308,215204,220776,189693,211050,301189,220629,196466,311023
" ","2004",258607,380465,260039,224186,221943,249822,207785,240242,202884,206502,220406,200515,193479,219940,203125,236692,229485,253161,328112,223909,240873,295296
" ","2005",266157,392385,264219,232364,228204,259971,239789,257502,208364,205210,206194,209930,212213,222551,209626,228532,212297,247921,289002,247078,240855,296153
" ","2006",283576,377966,265209,246337,232722,259567,227852,244340,243413,214573,231041,229462,210027,222534,214753,256628,239282,242998,333697,245611,209767,310769
" ","2007",262347,389064,282757,261426,245010,279512,226849,242715,234813,213289,202299,219774,204771,250350,250159,247331,215539,263625,367087,240144,238767,319785
" ","2008",285062,386340,271965,244880,243987,268912,258516,284478,219287,206670,212894,217561,228268,223284,196147,227134,244150,261760,330721,247958,242540,313552
" ","2009",265141,387053,268841,238208,235001,265920,239955,274737,213792,210870,228450,207073,217976,225212,227057,223026,233616,265588,323029,241774,256985,314845
" ","2010",273351,402056,272470,241598,234401,279919,249995,282953,230692,212335,228920,204811,216608,223022,222905,251270,287265,273157,335580,250342,244550,366533
" ","2011",279239,381561,273295,265316,245524,270996,227574,304977,233604,218099,214423,225436,236381,235938,223482,270372,235343,265936,334118,245468,268720,348707
" ","2012",278023,398217,287727,271157,242163,283843,271346,305546,245261,237947,250539,232985,265233,235953,247239,276949,259663,269329,344261,299540,276067,317002
" ","2013",284783,408688,288668,282352,261153,295244,266844,314004,259072,235744,243951,245405,236947,232187,266295,271606,273034,290287,361153,311947,309813,344406
" ","2014",291591,412973,314701,303365,266012,300872,284733,317748,269461,236695,258273,256153,241131,246320,270364,271001,293299,287145,370714,322686,292576,340562
" ","2015",305575,426633,311248,311948,269302,319905,297553,310076,262711,246179,245433,252666,243061,252801,251447,283620,264015,315698,341257,297019,290141,362726
" ","2016",326152,440278,325471,322806,286254,304104,311624,322158,292560,275692,253356,270909,250329,263519,277633,308024,315671,314446,379313,315559,297811,345070
" ","2017",337605,436538,327133,337637,293031,321015,313995,374050,277094,249639,257955,269954,270167,280227,298522,303398,295554,325550,440980,309364,318741,371985

"-------------------------- "
"指標項：勞動力人口數(千人) "
"定義：資料標準週內年滿十五歲可以工作之民間人口，包括就業者與失業者。 "
"註記：自91年起金門縣於每年5月及11月各辦理1次人力資源抽樣調查；連江縣 "
"       於每年9月辦理1次普查。 "
"-------------------------- "
"指標項：失業率(％) "
"定義：指失業人口占勞動力之百分比。失業者指在資料標準週內年滿十五歲同?"
"?"
"       "
"具有下列條件者：ぇ無工作；え隨時可以工作；ぉ正在尋找工作或已找工作在 "
"       "
"等待結果。此外，尚包括等待恢復工作者及找到職業而未開始工作亦無報酬者 "
"       。 "
"公式：（失業人口數／勞動力人口數）＊100 "
"註記：自91年起金門縣於每年5月及11月各辦理1次人力資源抽樣調查；連江縣 "
"       於每年9月辦理1次普查。 "
"-------------------------- "
"指標項：農林漁牧業產值(千元) "
"定義：指農林漁牧業總產值。產值＝單價＊產量。 "
"註記：不含各國外補給港、林區管理處、實驗林及其他機關資料。 "
"-------------------------- "
"指標項：歲入(百萬元) "
"定義：依預算法第六條規定稱歲入者，謂一個會計年度之一切收入。自88下半?"
"~及 "
"       89年度起不包括債務之舉借及以前年度歲計賸餘之移用。 "
"註記：1.指決算審定數。2.為會計年度資料，88年度（含）以前係指上年7月 "
"       1日至當年6月30日止，89年度係指88年下半年及89年，90年度以 "
"       後與曆年相同。 "
"-------------------------- "
"指標項：歲出(百萬元) "
"定義：依預算法第六條規定稱歲出者，謂一個會計年度之一切支出。自88下半?"
"~及 "
"       89年度起不包括債務之償還。 "
"註記：1.指決算審定數。2.為會計年度資料，88年度（含）以前係指上年7月 "
"       1日至當年6月30日止，89年度係指88年下半年及89年，90年度以 "
"       後與曆年相同。 "
"-------------------------- "
"指標項：醫療機構數(所) "
"定義：醫療機構包括公立及非公立醫院診所。公立醫院診所:包括署立及直轄市-"
"立 "
"       "
"醫院診所、縣市立醫院診所、公立醫學院校附設醫院醫務室、軍方醫院、榮民 "
"       "
"醫院、公立機關(構)附設醫院診所、公立中醫醫院及衛生所。非公立醫院 "
"       "
"診所:包括醫療財團法人醫院診所、醫療社團法人醫院診所、宗教財團法人附 "
"       "
"設醫院診所、私立醫學院校附設醫院醫務室、公益法人附設醫院診所、私立事 "
"       業單位或機構附設診所及私立西醫、私立牙醫、私立中醫等醫院診所。 "
"-------------------------- "
"指標項：空氣中總懸浮微粒濃度(微克／立方公尺) "
"定義：浮游於空氣中之微粒﹙包括10微米以上浮游粒子﹚。各地區濃度為該地?"
"洃@ "
"       "
"般人工監測站各測站濃度之算數平均值。各測站濃度為該測站各連續24小時 "
"       "
"監測值之幾何平均值；81年以前每年測定月數未達8個月，82年以後每年 "
"       測定次數未達16次之測站及其監測資料不納入計算。 "
"註記：環境空氣品質檢驗結果(表號：11320301)；連江縣無一般人工監 "
"       測站，金門縣則於102年（含）前無設置，皆以…表示。 "
"-------------------------- "
"指標項：平均每人每年可支配所得(元) "
"定義：平均每人每年可支配所得。 "
"公式：平均每戶可支配所得／平均每戶人數 "

